year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,24,"Diorio, Amber",So,D,13,,,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,00,"Johnson, Courtney",Sr,,1,,,,,0.00,,,,,,1,,3:18,0,0.000,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,00,"Johnson, Courtney",Sr,,1,,,,,0.00,,,,,,1,,3:18,0,0.000,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,31,"King, Karissa",So,M,11,,11,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,31,"King, Karissa",So,M,11,,11,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,3,"Niederhauser, Marli",So,,19,,,1,,2.00,22,5,,1,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,3,"Niederhauser, Marli",So,,19,,,1,,2.00,22,5,,1,,,,,,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,27,"Mangelson, Amanda",Jr,F,17,,,1,,2.00,7,4,,,,,,,0,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,27,"Mangelson, Amanda",Jr,F,17,,,1,,2.00,7,4,,,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,7,"Woods, Mariah",So,D,14,,,,,0.00,4,1,,1,,,,,,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,7,"Woods, Mariah",So,D,14,,,,,0.00,4,1,,1,,,,,,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,31,"Young, Grace",So,GK,13,,,,,0.00,,1,,,,2,2,933:39,14,1.350,21,0.600,5,1,6,4,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,31,"Young, Grace",So,GK,13,,,,,0.00,,1,,,,2,2,933:39,14,1.350,21,0.600,5,1,6,4,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,23,"Antoine, Maya",Fr,D,10,,10,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,23,"Antoine, Maya",Fr,D,10,,10,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,0,"Walton, Diera",Fr,,18,,,,,0.00,,1,,1,,10,10,1684:11,17,0.908,88,0.838,6,,8,9,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,0,"Walton, Diera",Fr,,18,,,,,0.00,,1,,1,,10,10,1684:11,17,0.908,88,0.838,6,,8,9,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,2,"Crow, Brenna",Jr,D,16,,,,2.00,2.00,1,2,,,,,,,0,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,2,"Crow, Brenna",Jr,D,16,,,,2.00,2.00,1,2,,,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,00,"Heilpern, Noelle",Fr,GK,13,,,,,0.00,,,1,,,7,6,1144:39,21,1.651,69,0.767,2,,1,10,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,00,"Heilpern, Noelle",Fr,GK,13,,,,,0.00,,,1,,,7,6,1144:39,21,1.651,69,0.767,2,,1,10,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,8,"Hardy, Rachel",Sr,M,12,,,,,0.00,3,2,,,,,,,,,,,,,,,,,,,
